R,k,p_k,p_k1,digits_N,F,f,u_up,u_dn,ncand_up,ncand_dn,q_k,T_up,T_dn
3,1351,11159,11161,4789.2,17483,17041,0.566437,0.526835,660,615,1.50672648e-03,0.994439,0.926637
3,1352,11161,11171,4793.2,29363,16381,1.628502,0.466386,1838,548,1.50558899e-03,2.767273,0.825063
3,1353,11171,11173,4797.3,12211,12203,0.092903,0.092187,107,106,1.50445320e-03,0.160976,0.159472
3,1354,11173,11177,4801.3,12007,15361,0.07426,0.37434,85,441,1.50331929e-03,0.127782,0.662964
3,1355,11177,11197,4805.4,21383,11467,0.909708,0.024114,1045,27,1.50218720e-03,1.569786,0.040559
3,1356,11197,11213,4809.4,18289,40841,0.631053,2.64229,740,2920,1.50105655e-03,1.110782,4.383085
3,1357,11213,11239,4813.5,11383,17783,0.012813,0.582258,17,683,1.49992742e-03,0.025499,1.02445
3,1358,11239,11243,4817.5,12451,11827,0.107445,0.051943,128,60,1.49879959e-03,0.191846,0.089928
3,1359,11243,11251,4821.6,23669,13999,1.103724,0.244245,1274,293,1.49767357e-03,1.908036,0.438818
3,1360,11251,11257,4825.6,29569,12889,1.626721,0.144976,1849,173,1.49654925e-03,2.76712,0.258903
3,1361,11257,11261,4829.7,62753,12539,4.572596,0.113489,4937,136,1.49542670e-03,7.382922,0.203378
3,1362,11261,11273,4833.7,12473,18353,0.106449,0.628049,126,741,1.49430594e-03,0.188283,1.107281
3,1363,11273,11279,4837.8,16421,14779,0.455891,0.310311,540,369,1.49318679e-03,0.806321,0.550986
3,1364,11279,11287,4841.8,13147,17483,0.164791,0.54895,199,647,1.49206938e-03,0.296922,0.965369
3,1365,11287,11299,4845.9,17903,19381,0.584477,0.715285,686,829,1.49095366e-03,1.022794,1.236001
3,1366,11299,11311,4849.9,16063,19861,0.420122,0.755901,502,881,1.48983954e-03,0.747899,1.312549
3,1367,11311,11317,4854.0,12569,14771,0.11063,0.305205,134,364,1.48872701e-03,0.199489,0.541897
3,1368,11317,11321,4858.0,26801,13907,1.36737,0.228425,1572,276,1.48761621e-03,2.338533,0.410582
3,1369,11321,11329,4862.1,19141,39631,0.689558,2.49819,803,2799,1.48650717e-03,1.193665,4.160734
3,1370,11329,11351,4866.1,11867,18269,0.045459,0.609462,53,724,1.48539981e-03,0.078726,1.075429
3,1371,11351,11353,4870.2,23041,11383,1.029508,0.002642,1201,3,1.48429380e-03,1.782637,0.004453
3,1372,11353,11369,4874.2,11813,17107,0.039054,0.504706,44,600,1.48318959e-03,0.06526,0.889914
3,1373,11369,11383,4878.3,26083,11587,1.291399,0.017921,1494,21,1.48208686e-03,2.214238,0.031124
3,1374,11383,11393,4882.4,22811,29297,1.002194,1.571491,1175,1809,1.48098565e-03,1.740158,2.679103
3,1375,11393,11399,4886.4,15773,25423,0.383718,1.230283,465,1428,1.47988604e-03,0.688147,2.113277
3,1376,11399,11411,4890.5,12539,14549,0.098852,0.274998,121,328,1.47878814e-03,0.178933,0.485043
3,1377,11411,11423,4894.5,26099,20117,1.284776,0.761096,1491,898,1.47769180e-03,2.203238,1.326967
3,1378,11423,11437,4898.6,25339,18691,1.215529,0.634257,1416,756,1.47659700e-03,2.090861,1.116307
3,1379,11437,11443,4902.6,18797,12917,0.642664,0.128812,766,159,1.47550372e-03,1.130236,0.234605
3,1380,11443,11447,4906.7,11681,19727,0.020442,0.723334,22,853,1.47441212e-03,0.032437,1.257674
3,1381,11447,11467,4910.8,28477,21841,1.483387,0.904683,1717,1069,1.47332224e-03,2.529694,1.574981
3,1382,11467,11471,4914.8,16871,17029,0.470752,0.484526,563,582,1.47223372e-03,0.828868,0.85684
3,1383,11471,11483,4918.9,14653,15259,0.27606,0.328834,333,397,1.47114692e-03,0.489892,0.584045
3,1384,11483,11489,4922.9,19777,22247,0.721386,0.936374,855,1107,1.47006165e-03,1.256903,1.627358
3,1385,11489,11491,4927.0,14779,12703,0.286137,0.105474,347,132,1.46897805e-03,0.509735,0.193905
3,1386,11491,11497,4931.1,21803,11503,0.896408,0.000522,1060,2,1.46789620e-03,1.55597,0.002936
3,1387,11497,11503,4935.1,11839,12479,0.02921,0.084847,34,102,1.46681601e-03,0.049872,0.149615
3,1388,11503,11519,4939.2,34403,23537,1.986631,1.04332,2288,1228,1.46573747e-03,3.353607,1.799926
3,1389,11519,11527,4943.2,19163,15667,0.662445,0.359157,785,439,1.46466036e-03,1.149758,0.642986
3,1390,11527,11549,4947.3,12983,12211,0.124167,0.057321,157,70,1.46358485e-03,0.229783,0.102451
3,1391,11549,11551,4951.4,11863,13463,0.027011,0.165527,31,205,1.46251063e-03,0.045338,0.299815
3,1392,11551,11579,4955.4,20857,18859,0.801278,0.628724,954,756,1.46143814e-03,1.394212,1.104847
3,1393,11579,11587,4959.5,45131,14503,2.894968,0.251661,3292,306,1.46036680e-03,4.807528,0.446872
3,1394,11587,11593,4963.6,25301,17123,1.182438,0.477012,1395,580,1.45929705e-03,2.035719,0.846392
3,1395,11593,11597,4967.6,25117,13913,1.165819,0.199707,1377,250,1.45822893e-03,2.007981,0.364557
3,1396,11597,11617,4971.7,19079,13799,0.642335,0.187828,771,236,1.45716248e-03,1.123472,0.34389
3,1397,11617,11621,4975.8,12899,16747,0.109973,0.441098,138,539,1.45609735e-03,0.200941,0.784836
3,1398,11621,11633,4979.8,12377,20773,0.063956,0.785696,79,943,1.45503388e-03,0.114948,1.372097
3,1399,11633,11657,4983.9,13553,17909,0.162649,0.53633,205,653,1.45397190e-03,0.298064,0.949444
3,1400,11657,11677,4987.9,35291,16741,2.022266,0.433673,2360,535,1.45291114e-03,3.42887,0.777307
3,1401,11677,11681,4992.0,14951,23251,0.279942,0.990497,350,1192,1.45185169e-03,0.508148,1.730607
3,1402,11681,11689,4996.1,12919,17389,0.105227,0.487638,137,598,1.45079389e-03,0.198759,0.867575
3,1403,11689,11699,5000.2,21247,14549,0.816138,0.243611,985,301,1.44973765e-03,1.427992,0.436371
3,1404,11699,11701,5004.2,12919,12853,0.104094,0.098453,135,128,1.44868292e-03,0.195572,0.185431
3,1405,11701,11717,5008.3,13267,12959,0.132286,0.106,172,138,1.44762988e-03,0.248992,0.199773
3,1406,11717,11719,5012.4,32297,19793,1.755952,0.688967,2056,834,1.44657822e-03,2.974165,1.206446
3,1407,11719,11731,5016.4,27179,21767,1.316853,0.855511,1570,1035,1.44552823e-03,2.269479,1.496122
3,1408,11731,11743,5020.5,11863,22699,0.010219,0.932981,14,1128,1.44447970e-03,0.020223,1.629373
3,1409,11743,11777,5024.6,15919,25733,0.351702,1.185022,447,1424,1.44343262e-03,0.645214,2.055448
3,1410,11777,11779,5028.6,16831,12781,0.428899,0.085067,533,114,1.44238653e-03,0.768792,0.164432
3,1411,11779,11783,5032.7,13229,12829,0.122719,0.088772,162,119,1.44134211e-03,0.233497,0.17152
3,1412,11783,11789,5036.8,21377,12071,0.813301,0.023921,986,33,1.44029930e-03,1.420135,0.04753
3,1413,11789,11801,5040.9,21647,21773,0.834336,0.845013,1017,1030,1.43925806e-03,1.463725,1.482436
3,1414,11801,11807,5044.9,25771,14249,1.182688,0.206826,1424,260,1.43821826e-03,2.048023,0.373937
3,1415,11807,11813,5049.0,11839,19717,0.002201,0.669093,6,817,1.43718003e-03,0.008623,1.174176
3,1416,11813,11821,5053.1,22769,26099,0.926148,1.20785,1128,1452,1.43614335e-03,1.61997,2.08528
3,1417,11821,11827,5057.1,12757,15773,0.078634,0.333643,105,423,1.43510819e-03,0.150686,0.607051
3,1418,11827,11831,5061.2,15227,13147,0.287043,0.111233,359,145,1.43407458e-03,0.514833,0.207941
3,1419,11831,11833,5065.3,21313,14341,0.801149,0.21195,973,263,1.43304256e-03,1.39435,0.37689
3,1420,11833,11839,5069.4,22541,15551,0.903961,0.31354,1099,394,1.43201216e-03,1.573781,0.564213
3,1421,11839,11863,5073.4,20807,27397,0.753941,1.30945,922,1573,1.43098331e-03,1.319367,2.250937
3,1422,11863,11867,5077.5,17377,35201,0.464313,1.966293,575,2330,1.42995563e-03,0.822224,3.331797
3,1423,11867,11887,5081.6,15121,12197,0.272062,0.026079,343,35,1.42892952e-03,0.490123,0.050013
3,1424,11887,11897,5085.7,23993,15749,1.016727,0.323779,1244,413,1.42790466e-03,1.776313,0.589725
3,1425,11897,11903,5089.7,14653,17881,0.231034,0.502226,291,624,1.42688125e-03,0.415222,0.890374
3,1426,11903,11909,5093.8,14543,41299,0.221177,2.467881,277,2898,1.42585936e-03,0.394963,4.13214
3,1427,11909,11923,5097.9,12613,12503,0.057871,0.048645,80,66,1.42483900e-03,0.113987,0.094039
3,1428,11923,11927,5102.0,13159,45263,0.103295,2.795003,137,3268,1.42381999e-03,0.195063,4.653044
3,1429,11927,11933,5106.0,28703,15107,1.405347,0.265985,1698,336,1.42280254e-03,2.415919,0.478062
3,1430,11933,11939,5110.1,16193,15017,0.356311,0.257811,453,326,1.42178661e-03,0.644069,0.463502
3,1431,11939,11941,5114.2,12703,16553,0.063814,0.386232,86,485,1.42077218e-03,0.122186,0.689075
3,1432,11941,11953,5118.3,15401,54949,0.288463,3.597089,368,4154,1.41975934e-03,0.522471,5.89768
3,1433,11953,11959,5122.3,25127,17107,1.101095,0.430471,1341,539,1.41874788e-03,1.902541,0.764705
3,1434,11959,11969,5126.4,12157,24763,0.015707,1.068928,21,1305,1.41773792e-03,0.029772,1.850148
3,1435,11969,11971,5130.5,46829,15881,2.91187,0.326623,3404,415,1.41672937e-03,4.822547,0.587943
3,1436,11971,11981,5134.6,22817,51383,0.904432,3.288707,1114,3820,1.41572240e-03,1.577115,5.40806
3,1437,11981,11987,5138.7,12967,51001,0.081755,3.254693,107,3786,1.41471684e-03,0.151375,5.356118
3,1438,11987,12007,5142.7,14489,48781,0.206713,3.062713,260,3578,1.41371276e-03,0.367565,5.058264
3,1439,12007,12011,5146.8,13841,20147,0.15236,0.677379,197,840,1.41270989e-03,0.278304,1.186676
3,1440,12011,12037,5150.9,26021,17377,1.161751,0.443632,1423,557,1.41170854e-03,2.008861,0.786322
3,1441,12037,12041,5155.0,15889,12149,0.319575,0.008969,411,13,1.41070827e-03,0.579801,0.018339
3,1442,12041,12043,5159.1,16553,26209,0.374491,1.176285,474,1439,1.40970952e-03,0.668202,2.028572
3,1443,12043,12049,5163.1,16369,20533,0.358536,0.704125,456,874,1.40871231e-03,0.642373,1.231215
3,1444,12049,12071,5167.2,14207,18443,0.176953,0.527877,227,669,1.40771658e-03,0.319552,0.941762
3,1445,12071,12073,5171.3,33311,15527,1.759132,0.286093,2121,367,1.40672199e-03,2.983657,0.516267
3,1446,12073,12097,5175.4,16033,12907,0.32537,0.066959,419,90,1.40572895e-03,0.589,0.126516
3,1447,12097,12101,5179.5,24317,22079,1.009503,0.82456,1254,1028,1.40473701e-03,1.76154,1.44407
3,1448,12101,12107,5183.5,15451,13309,0.276204,0.099281,357,132,1.40374657e-03,0.501138,0.185295
3,1449,12107,12109,5187.6,21803,13577,0.800562,0.121232,997,157,1.40275759e-03,1.398549,0.220233
3,1450,12109,12113,5191.7,33391,15737,1.756625,0.299183,2126,385,1.40177013e-03,2.980163,0.539681
3,1451,12113,12119,5195.8,23971,28447,0.977968,1.347306,1214,1645,1.40078415e-03,1.700552,2.30429
3,1452,12119,12143,5199.9,23201,23719,0.910648,0.953306,1137,1186,1.39979962e-03,1.591572,1.660162
3,1453,12143,12149,5204.0,21157,19717,0.74146,0.622932,925,779,1.39881619e-03,1.293905,1.089678
3,1454,12149,12157,5208.0,18121,17443,0.490582,0.434811,622,552,1.39783419e-03,0.869453,0.771604
3,1455,12157,12161,5212.1,17183,13291,0.412959,0.09292,523,123,1.39685359e-03,0.730554,0.171813
3,1456,12161,12163,5216.2,15131,17789,0.244019,0.46255,311,585,1.39587445e-03,0.434117,0.816587
3,1457,12163,12197,5220.3,13339,31039,0.09363,1.544806,128,1887,1.39489682e-03,0.178547,2.63217
3,1458,12197,12203,5224.4,12763,16417,0.04589,0.345325,65,444,1.39392009e-03,0.090605,0.618901
3,1459,12203,12211,5228.5,17911,18859,0.466792,0.544427,594,689,1.39294478e-03,0.827409,0.959739
3,1460,12211,12227,5232.6,16267,19463,0.330416,0.591805,430,747,1.39197085e-03,0.598547,1.039802
3,1461,12227,12239,5236.6,31237,22961,1.552251,0.876052,1905,1100,1.39099815e-03,2.649851,1.530098
3,1462,12239,12241,5240.7,12263,14561,0.001797,0.189527,4,245,1.39002675e-03,0.00556,0.340557
3,1463,12241,12251,5244.8,13217,19087,0.078851,0.557995,108,706,1.38905684e-03,0.150018,0.980674
3,1464,12251,12253,5248.9,14081,30911,0.149188,1.522729,196,1869,1.38808826e-03,0.272065,2.594337
3,1465,12253,12263,5253.0,13513,12653,0.101933,0.031803,136,47,1.38712117e-03,0.188648,0.065195
3,1466,12263,12269,5257.1,21179,15551,0.726221,0.267503,915,348,1.38615539e-03,1.268332,0.482382
3,1467,12269,12277,5261.2,15461,14489,0.259347,0.180174,339,231,1.38519102e-03,0.46958,0.319979
3,1468,12277,12281,5265.3,15643,22159,0.273756,0.804332,356,1018,1.38422801e-03,0.492785,1.409144
3,1469,12281,12289,5269.4,14537,15923,0.182928,0.295712,233,388,1.38326643e-03,0.322301,0.536707
3,1470,12289,12301,5273.4,16633,18661,0.352166,0.517031,454,661,1.38230620e-03,0.627567,0.913704
3,1471,12301,12323,5277.5,18251,19309,0.481052,0.566907,620,718,1.38134725e-03,0.856435,0.991807
3,1472,12323,12329,5281.6,12577,16561,0.020115,0.343256,30,445,1.38038939e-03,0.041412,0.614273
3,1473,12329,12343,5285.7,16001,12511,0.296362,0.013611,390,21,1.37943291e-03,0.537979,0.028968
3,1474,12343,12347,5289.8,13003,16249,0.05313,0.316028,75,414,1.37847766e-03,0.103386,0.57069
3,1475,12347,12373,5293.9,15289,39499,0.235674,2.192354,311,2680,1.37752383e-03,0.42841,3.691764
3,1476,12373,12377,5298.0,13933,20521,0.125717,0.657995,172,840,1.37657100e-03,0.23677,1.15632
3,1477,12377,12379,5302.1,29411,14323,1.375879,0.15704,1719,203,1.37561959e-03,2.36469,0.279251
3,1478,12379,12391,5306.2,17203,27739,0.388346,1.238641,503,1547,1.37466962e-03,0.691459,2.126614
3,1479,12391,12401,5310.3,14887,38167,0.200468,2.077736,265,2549,1.37372090e-03,0.364036,3.501615
3,1480,12401,12409,5314.4,15451,14197,0.245145,0.144089,325,190,1.37277347e-03,0.446151,0.260827
3,1481,12409,12413,5318.5,16481,12791,0.327721,0.030452,429,44,1.37182737e-03,0.588514,0.06036
3,1482,12413,12421,5322.6,15313,16487,0.232831,0.327349,307,429,1.37088266e-03,0.420861,0.588109
3,1483,12421,12433,5326.6,30841,12619,1.480576,0.01496,1842,25,1.36993926e-03,2.523428,0.034248
3,1484,12433,12437,5330.7,13963,17497,0.122698,0.406851,165,530,1.36899711e-03,0.225885,0.725568
3,1485,12437,12451,5334.8,29347,24683,1.356999,0.982411,1704,1248,1.36805635e-03,2.331168,1.707334
3,1486,12451,12457,5338.9,18397,16927,0.47684,0.358834,621,466,1.36711679e-03,0.84898,0.637076
3,1487,12457,12473,5343.0,23293,16619,0.867474,0.332398,1110,435,1.36617857e-03,1.516458,0.594288
3,1488,12473,12479,5347.1,12539,34897,0.004808,1.796458,9,2237,1.36524151e-03,0.012287,3.054045
3,1489,12479,12487,5351.2,33311,38177,1.667654,2.05734,2077,2540,1.36430579e-03,2.833663,3.465337
3,1490,12487,12491,5355.3,20029,26041,0.603475,1.084781,776,1375,1.36337137e-03,1.057976,1.874636
3,1491,12491,12497,5359.4,14143,19429,0.131712,0.554693,173,711,1.36243832e-03,0.235702,0.968694
3,1492,12497,12503,5363.5,21139,12821,0.690714,0.025434,883,36,1.36150660e-03,1.20221,0.049014
3,1493,12503,12511,5367.6,15053,13711,0.203181,0.095916,265,129,1.36057620e-03,0.360553,0.175514
3,1494,12511,12517,5371.7,21391,15329,0.708956,0.224654,907,297,1.35964709e-03,1.2332,0.403815
3,1495,12517,12527,5375.8,14983,13873,0.196057,0.107448,259,143,1.35871930e-03,0.351908,0.194297
3,1496,12527,12539,5379.9,31481,14723,1.510647,0.174177,1892,227,1.35779276e-03,2.568944,0.308219
3,1497,12539,12541,5384.0,15649,17099,0.247827,0.363448,329,474,1.35686743e-03,0.446409,0.643155
3,1498,12541,12547,5388.1,21317,18493,0.698972,0.473898,895,620,1.35594348e-03,1.213569,0.840685
3,1499,12547,12553,5392.2,13267,22189,0.056879,0.767625,78,989,1.35502084e-03,0.105692,1.340116
3,1500,12553,12569,5396.3,13001,24593,0.03437,0.956639,48,1226,1.35409950e-03,0.064997,1.660126
3,1501,12569,12577,5400.4,15859,16063,0.260953,0.277173,347,367,1.35317930e-03,0.469553,0.496617
3,1502,12577,12583,5404.5,13997,26849,0.112374,1.133752,149,1443,1.35226037e-03,0.201487,1.951312
3,1503,12583,12589,5408.6,17939,31721,0.424974,1.519739,554,1907,1.35134273e-03,0.748644,2.577011
3,1504,12589,12601,5412.7,16993,16433,0.348544,0.304103,456,401,1.35042639e-03,0.615794,0.541521
3,1505,12601,12611,5416.8,15031,16651,0.191896,0.320355,252,421,1.34951124e-03,0.340077,0.568144
3,1506,12611,12613,5420.9,14543,14083,0.153017,0.116546,197,155,1.34859731e-03,0.265674,0.209033
3,1507,12613,12619,5425.0,14071,13451,0.115065,0.065932,152,87,1.34768474e-03,0.204848,0.117249
3,1508,12619,12637,5429.1,22063,12713,0.745905,0.006014,964,10,1.34677345e-03,1.29829,0.013468
3,1509,12637,12641,5433.2,12853,18311,0.016771,0.44854,23,590,1.34586324e-03,0.030955,0.794059
3,1510,12641,12647,5437.3,31249,16759,1.470863,0.325136,1858,427,1.34495435e-03,2.498925,0.574296
3,1511,12647,12653,5441.4,14879,22861,0.175927,0.806765,232,1042,1.34404673e-03,0.311819,1.400497
3,1512,12653,12659,5445.5,24623,20507,0.945098,0.619954,1216,802,1.34314039e-03,1.633259,1.077199
3,1513,12659,12671,5449.6,16339,18413,0.28948,0.453161,382,596,1.34223532e-03,0.512734,0.799972
3,1514,12671,12689,5453.7,17053,20219,0.34392,0.593427,454,772,1.34133141e-03,0.608964,1.035508
3,1515,12689,12697,5457.8,14537,14549,0.144916,0.145861,187,189,1.34042858e-03,0.25066,0.253341
3,1516,12697,12703,5461.9,18749,15263,0.475951,0.201527,624,265,1.33952697e-03,0.835865,0.354975
3,1517,12703,12713,5466.0,18859,33767,0.483442,1.6561,631,2099,1.33862663e-03,0.844673,2.809777
3,1518,12713,12721,5470.1,13163,21649,0.034746,0.701832,48,913,1.33772748e-03,0.064211,1.221345
3,1519,12721,12739,5474.2,20333,13577,0.596122,0.065782,777,87,1.33682955e-03,1.038717,0.116304
3,1520,12739,12743,5478.3,26029,13009,1.042612,0.020874,1344,31,1.33593268e-03,1.795494,0.041414
3,1521,12743,12757,5482.4,13711,14479,0.074782,0.134985,101,176,1.33503710e-03,0.134839,0.234967
3,1522,12757,12763,5486.5,14419,12809,0.12975,0.003604,168,5,1.33414263e-03,0.224136,0.006671
3,1523,12763,12781,5490.6,21493,16433,0.681637,0.285737,888,382,1.33324941e-03,1.183925,0.509301
3,1524,12781,12791,5494.8,23609,16097,0.845751,0.258463,1103,350,1.33235723e-03,1.46959,0.466325
3,1525,12791,12799,5498.9,13903,21839,0.086257,0.706305,118,924,1.33146624e-03,0.157113,1.230275
3,1526,12799,12809,5503.0,19507,15761,0.522914,0.230463,688,312,1.33057645e-03,0.915437,0.41514
3,1527,12809,12821,5507.1,16127,15391,0.257858,0.200452,350,272,1.32968783e-03,0.465391,0.361675
3,1528,12821,12823,5511.2,29947,18443,1.335413,0.438275,1714,585,1.32880035e-03,2.277564,0.777348
3,1529,12823,12829,5515.3,19249,22877,0.500429,0.783226,654,1026,1.32791417e-03,0.868456,1.36244
3,1530,12829,12841,5519.4,39119,13103,2.046414,0.020403,2589,29,1.32702922e-03,3.435679,0.038484
3,1531,12841,12853,5523.5,17569,20857,0.366918,0.622734,488,815,1.32614540e-03,0.647159,1.080809
3,1532,12853,12889,5527.6,20903,24481,0.621771,0.899372,820,1185,1.32526271e-03,1.086715,1.570436
3,1533,12889,12893,5531.7,13411,31357,0.040177,1.432095,57,1847,1.32438075e-03,0.07549,2.446131
3,1534,12893,12899,5535.8,27179,21577,1.107063,0.672765,1443,888,1.32350006e-03,1.909811,1.175268
3,1535,12899,12907,5539.9,12973,20107,0.005114,0.557837,10,738,1.32262058e-03,0.013226,0.976094
3,1536,12907,12911,5544.1,13297,19979,0.029897,0.54744,43,723,1.32174228e-03,0.056835,0.95562
3,1537,12911,12917,5548.2,16339,22961,0.264922,0.77758,358,1024,1.32086523e-03,0.47287,1.352566
3,1538,12917,12919,5552.3,26189,14771,1.027169,0.143355,1341,193,1.31998939e-03,1.770106,0.254758
3,1539,12919,12923,5556.4,29021,32183,1.245686,1.490366,1617,1913,1.31911483e-03,2.133009,2.523467
3,1540,12923,12941,5560.5,19457,15581,0.503516,0.204003,666,277,1.31824150e-03,0.877949,0.365153
3,1541,12941,12953,5564.6,16747,16829,0.292905,0.299236,395,401,1.31736918e-03,0.520361,0.528265
3,1542,12953,12959,5568.7,24151,31189,0.863647,1.406744,1147,1819,1.31649798e-03,1.510023,2.39471
3,1543,12959,12967,5572.8,17077,16763,0.316958,0.292743,426,395,1.31562797e-03,0.560458,0.519673
3,1544,12967,12973,5577.0,14327,23993,0.104371,0.849457,137,1124,1.31475912e-03,0.180122,1.477789
3,1545,12973,12979,5581.1,13217,14929,0.018337,0.150243,26,203,1.31389147e-03,0.034161,0.26672
3,1546,12979,12983,5585.2,21101,21563,0.625279,0.660864,826,874,1.31302501e-03,1.084559,1.147584
3,1547,12983,13001,5589.3,20483,16529,0.575494,0.271364,766,367,1.31215978e-03,1.005114,0.481563
3,1548,13001,13003,5593.4,13633,40283,0.04845,2.097977,64,2682,1.31129554e-03,0.083923,3.516895
3,1549,13003,13007,5597.5,14519,18059,0.116245,0.388406,151,521,1.31043255e-03,0.197875,0.682735
3,1550,13007,13009,5601.6,14011,19373,0.077024,0.4892,104,642,1.30957077e-03,0.136195,0.840744
3,1551,13009,13033,5605.8,17581,15959,0.34896,0.224507,471,308,1.30871023e-03,0.616403,0.403083
3,1552,13033,13037,5609.9,17909,27239,0.373706,1.089361,500,1429,1.30785059e-03,0.653925,1.868918
3,1553,13037,13043,5614.0,31543,19681,1.418385,0.508932,1842,674,1.30699216e-03,2.40748,0.880913
3,1554,13043,13049,5618.1,13883,34703,0.063913,1.659438,87,2153,1.30613490e-03,0.113634,2.812108
3,1555,13049,13063,5622.2,14423,20981,0.104111,0.606139,136,804,1.30527881e-03,0.177518,1.049444
3,1556,13063,13093,5626.3,23929,31277,0.827618,1.388834,1107,1817,1.30442377e-03,1.443997,2.370138
3,1557,13093,13099,5630.4,17747,16883,0.354836,0.288877,480,390,1.30356952e-03,0.625713,0.508392
3,1558,13099,13103,5634.6,15877,13627,0.211707,0.039991,291,53,1.30271644e-03,0.37909,0.069044
3,1559,13103,13109,5638.7,15091,15139,0.151194,0.154855,204,210,1.30186455e-03,0.26558,0.273392
3,1560,13109,13121,5642.8,19429,27823,0.480756,1.120494,642,1479,1.30101382e-03,0.835251,1.924199
3,1561,13121,13127,5646.9,21517,14401,0.639141,0.097052,853,126,1.30016416e-03,1.10904,0.163821
3,1562,13127,13147,5651.0,13163,13367,0.001217,0.016734,4,24,1.29931565e-03,0.005197,0.031184
3,1563,13147,13151,5655.2,15919,28219,0.210478,1.145768,293,1513,1.29846809e-03,0.380451,1.964582
3,1564,13151,13159,5659.3,16657,31859,0.265826,1.421081,363,1859,1.29762170e-03,0.471037,2.412279
3,1565,13159,13163,5663.4,17333,13217,0.316797,0.004102,428,6,1.29677643e-03,0.55502,0.007781
3,1566,13163,13171,5667.5,14831,17491,0.126034,0.327993,172,447,1.29593234e-03,0.2229,0.579282
3,1567,13171,13177,5671.6,32143,21701,1.439326,0.646885,1882,868,1.29508936e-03,2.437358,1.124138
3,1568,13177,13183,5675.7,18793,13457,0.425548,0.020784,576,27,1.29424752e-03,0.745487,0.034945
3,1569,13183,13187,5679.9,18517,14731,0.404186,0.117085,551,155,1.29340682e-03,0.712667,0.200478
3,1570,13187,13217,5684.0,18329,24317,0.386775,0.839827,531,1131,1.29256729e-03,0.686353,1.461894
3,1571,13217,13219,5688.1,16979,15287,0.284439,0.156441,386,214,1.29172854e-03,0.498607,0.27643
3,1572,13219,13229,5692.2,28817,13841,1.17832,0.046262,1567,64,1.29089098e-03,2.022826,0.082617
3,1573,13229,13241,5696.4,24473,18127,0.848274,0.369005,1143,504,1.29005448e-03,1.474532,0.650187
3,1574,13241,13249,5700.5,24359,23117,0.838554,0.744811,1130,1007,1.28921903e-03,1.456818,1.298244
3,1575,13249,13259,5704.6,19219,16333,0.449506,0.231843,605,319,1.28838468e-03,0.779473,0.410995
3,1576,13259,13267,5708.7,19381,21179,0.460843,0.596367,618,805,1.28755139e-03,0.795707,1.036479
3,1577,13267,13291,5712.8,21023,16603,0.581747,0.249191,789,343,1.28671919e-03,1.015221,0.441345
3,1578,13291,13297,5717.0,25657,14221,0.929533,0.069489,1248,94,1.28588785e-03,1.604788,0.120873
3,1579,13297,13309,5721.1,28643,16001,1.152153,0.202269,1540,284,1.28505763e-03,1.978989,0.364956
3,1580,13309,13313,5725.2,15971,15259,0.199654,0.146173,280,200,1.28422843e-03,0.359584,0.256846
3,1581,13313,13327,5729.3,20521,15139,0.539806,0.135965,735,188,1.28340038e-03,0.943299,0.241279
3,1582,13327,13331,5733.5,30427,14747,1.282424,0.106219,1704,145,1.28257332e-03,2.185505,0.185973
3,1583,13331,13337,5737.6,16691,13457,0.251481,0.008998,347,12,1.28174740e-03,0.444766,0.015381
3,1584,13337,13339,5741.7,13469,25759,0.009746,0.931104,13,1252,1.28092259e-03,0.016652,1.603715
3,1585,13339,13367,5745.8,26591,21817,0.989302,0.632154,1332,862,1.28009894e-03,1.705092,1.103445
3,1586,13367,13381,5750.0,22637,24419,0.691727,0.824901,942,1125,1.27927608e-03,1.205078,1.439186
3,1587,13381,13397,5754.1,24223,19081,0.808091,0.424274,1108,581,1.27845420e-03,1.416527,0.742782
3,1588,13397,13399,5758.2,32941,14389,1.458467,0.073886,1943,98,1.27763328e-03,2.482441,0.125208
3,1589,13399,13411,5762.3,13807,13633,0.029528,0.016554,44,23,1.27681351e-03,0.05618,0.029367
3,1590,13411,13417,5766.5,18719,16139,0.39517,0.202877,547,288,1.27599475e-03,0.697969,0.367486
3,1591,13417,13421,5770.6,18397,14939,0.370762,0.113106,516,158,1.27517709e-03,0.657991,0.201478
3,1592,13421,13441,5774.7,37987,13963,1.826203,0.038836,2422,57,1.27436054e-03,3.086501,0.072639
3,1593,13441,13451,5778.9,18211,18457,0.353877,0.372166,493,522,1.27354489e-03,0.627858,0.66479
3,1594,13451,13457,5783.0,32191,40771,1.392138,2.029724,1860,2675,1.27273026e-03,2.367278,3.404553
3,1595,13457,13463,5787.1,19081,20051,0.417292,0.489341,573,673,1.27191672e-03,0.728808,0.856
3,1596,13463,13469,5791.2,15233,15859,0.130967,0.177445,182,252,1.27110426e-03,0.231341,0.320318
3,1597,13469,13477,5795.4,13789,19373,0.023151,0.437486,34,595,1.27029288e-03,0.04319,0.755824
3,1598,13477,13487,5799.5,25621,17789,0.899681,0.318974,1224,443,1.26948255e-03,1.553847,0.562381
3,1599,13487,13499,5803.6,21773,16447,0.612934,0.218387,844,307,1.26867324e-03,1.07076,0.389483
3,1600,13499,13513,5807.8,28109,44501,1.080145,2.293199,1467,3025,1.26786493e-03,1.859958,3.835291
3,1601,13513,13523,5811.9,21799,18587,0.611994,0.374473,844,526,1.26705757e-03,1.069397,0.666472
